timestamp_x,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp,time,timestamp_y,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop
1760823032,-1.3766659545898436,0.9792284790039062,-9.545682019042967,-2.9236641221374047,-0.9236641221374046,0.9618320610687024,27.494705882352942,71,1760723463.0,3402.75301 N,08407.11400 W,306.4,8.0,0.98,0.458,1.83,0.98
1760823033,-1.3838485595703125,0.9888052856445312,-9.536105212402344,-2.969465648854962,-0.9083969465648856,1.2748091603053435,27.494705882352942,72,1760723464.0,3402.75302 N,08407.11415 W,306.4,8.0,0.98,0.305,1.83,0.98
1760823034,-1.3575123413085937,1.0127473022460938,-9.49300958251953,-2.8091603053435112,-0.8244274809160306,1.0610687022900764,28.953529411764706,73,1760723465.0,3402.75301 N,08407.11418 W,306.5,8.0,0.98,0.237,1.83,0.98
1760823035,-1.3958195678710936,1.0007762939453124,-9.581595043945311,-3.0381679389312977,-0.9083969465648856,1.1603053435114503,28.388823529411766,74,1760723466.0,3402.75297 N,08407.11422 W,306.6,8.0,0.98,0.261,1.83,0.98
1760823036,-1.3239935180664062,0.9217676391601562,-9.591171850585935,-3.366412213740458,-1.251908396946565,0.9923664122137404,28.20058823529412,75,1760723467.0,3402.75290 N,08407.11423 W,306.6,8.0,0.98,0.186,1.83,0.98
1760823037,-1.37906015625,0.9935936889648436,-9.552864624023435,-3.114503816793893,-1.015267175572519,1.1374045801526718,28.24764705882353,76,1760723468.0,3402.75289 N,08407.11436 W,306.8,8.0,0.98,0.512,1.83,0.98
1760823038,-1.35990654296875,1.0678139404296874,-9.370905297851564,-2.854961832061069,-1.0,1.1297709923664123,28.341764705882355,77,1760723469.0,3402.75277 N,08407.11442 W,306.9,8.0,0.98,0.048,1.83,0.98
1760823039,-1.3192051147460937,1.05344873046875,-9.483432775878908,-2.969465648854962,-1.015267175572519,0.7938931297709924,28.294705882352943,78,1760723470.0,3402.75265 N,08407.11447 W,307.0,8.0,0.98,0.038,1.83,0.98
1760823040,-1.235408056640625,1.0342951171875,-9.507374792480467,-3.0229007633587788,-1.015267175572519,1.068702290076336,28.341764705882355,79,1760723471.0,3402.75234 N,08407.11436 W,307.1,8.0,0.98,0.184,1.83,0.98
1760823041,-1.3383587280273437,0.9720458740234376,-9.5384994140625,-2.786259541984733,-0.8091603053435115,1.0381679389312977,28.24764705882353,80,1760723472.0,3402.75207 N,08407.11397 W,307.2,8.0,0.98,0.815,1.83,0.98
1760823042,-1.3934253662109377,1.0103531005859374,-9.524134204101562,-2.839694656488549,-0.916030534351145,1.076335877862595,28.388823529411766,81,1760723473.0,3402.75184 N,08407.11380 W,307.2,8.0,0.98,0.619,1.83,0.98
1760823043,-1.3335703247070312,1.0031704956054688,-9.481038574218749,-3.3587786259541983,-1.16793893129771,1.045801526717557,28.341764705882355,82,1760723474.0,3402.75174 N,08407.11385 W,307.3,8.0,0.98,0.295,1.83,0.98
1760823044,-1.5227122558593749,1.0007762939453124,-9.442731347656249,-3.106870229007633,-0.5954198473282443,1.0916030534351144,28.341764705882355,83,1760723475.0,3402.75189 N,08407.11390 W,307.4,8.0,0.98,0.378,1.83,0.98
1760823045,-1.335964526367187,1.0079588989257813,-9.598354455566406,-3.106870229007633,-1.0381679389312977,0.9923664122137404,28.341764705882355,84,1760723476.0,3402.75154 N,08407.11384 W,307.4,8.0,0.98,1.056,1.83,0.98
1760823046,-1.35990654296875,0.9935936889648436,-9.488221179199218,-3.0,-0.9236641221374046,1.076335877862595,28.341764705882355,85,1760723477.0,3402.75149 N,08407.11380 W,307.5,8.0,0.98,0.227,1.83,0.98
