timestamp,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop
1760723498,3402.75103 N,08407.11284 W,308.4,08,0.98,0.183,1.82,0.98
1760723499,3402.75104 N,08407.11284 W,308.5,08,0.98,0.110,1.82,0.98
1760723500,3402.75078 N,08407.11287 W,308.6,08,0.98,0.137,1.82,0.98
1760723501,3402.75071 N,08407.11286 W,308.8,08,0.98,0.057,1.82,0.98
1760723502,3402.75067 N,08407.11306 W,308.9,08,0.98,0.656,1.82,0.98
1760723503,3402.75065 N,08407.11318 W,309.1,07,1.01,0.177,1.82,0.98
1760723504,3402.75078 N,08407.11332 W,309.2,07,1.01,0.243,2.03,1.01
1760723505,3402.75075 N,08407.11334 W,309.4,08,0.98,0.467,2.03,1.01
1760723506,3402.75067 N,08407.11333 W,309.5,08,0.98,0.435,1.82,0.98
1760723507,3402.75061 N,08407.11344 W,309.6,08,0.98,0.253,1.82,0.98
1760723508,3402.75055 N,08407.11353 W,309.7,08,0.98,0.285,1.82,0.98
1760723509,3402.75048 N,08407.11347 W,309.9,08,0.98,0.523,1.82,0.98
1760723510,3402.75038 N,08407.11334 W,310.0,08,0.98,0.764,1.82,0.98
1760723511,3402.75029 N,08407.11333 W,310.1,08,0.98,0.518,1.82,0.98
1760723512,3402.75028 N,08407.11333 W,310.2,08,0.98,0.175,1.82,0.98
1760723513,3402.75001 N,08407.11314 W,310.3,08,0.98,0.481,1.82,0.98
1760723514,3402.75014 N,08407.11310 W,310.4,08,0.98,0.394,1.82,0.98
1760723515,3402.75004 N,08407.11297 W,310.4,08,0.98,0.669,1.82,0.98
1760723516,3402.74998 N,08407.11306 W,310.5,08,0.98,0.695,1.82,0.98
1760723517,3402.75001 N,08407.11306 W,310.6,08,0.98,0.536,1.82,0.98
1760723518,3402.75001 N,08407.11294 W,310.7,08,0.98,0.227,1.82,0.98
1760723519,3402.74992 N,08407.11285 W,310.8,08,0.98,0.467,1.82,0.98
1760723520,3402.74988 N,08407.11289 W,310.9,08,0.98,0.058,1.82,0.98
1760723521,3402.74995 N,08407.11300 W,311.0,08,0.98,0.872,1.82,0.98
1760723522,3402.74988 N,08407.11295 W,311.2,08,0.98,1.162,1.82,0.98
1760723523,3402.74983 N,08407.11282 W,311.3,08,0.98,0.734,1.82,0.98
1760723524,3402.74987 N,08407.11274 W,311.4,08,0.98,0.675,1.82,0.98
1760723525,3402.74988 N,08407.11271 W,311.6,08,0.98,1.330,1.82,0.98
1760723526,3402.74987 N,08407.11266 W,311.7,08,0.98,1.565,1.82,0.98
1760723527,3402.74991 N,08407.11243 W,311.8,08,0.98,1.055,1.82,0.98
1760723528,3402.74995 N,08407.11228 W,311.9,08,0.98,0.563,1.82,0.98
1760723529,3402.74976 N,08407.11229 W,312.1,08,0.98,1.099,1.82,0.98
1760723530,3402.74957 N,08407.11223 W,312.2,08,0.98,1.983,1.82,0.98
1760723531,3402.74949 N,08407.11212 W,312.2,08,0.98,1.460,1.82,0.98
1760723532,3402.74952 N,08407.11218 W,312.2,08,0.98,0.237,1.82,0.98
1760723533,3402.74953 N,08407.11224 W,312.3,08,0.98,0.570,1.82,0.98
1760723534,3402.74949 N,08407.11223 W,312.3,08,0.98,0.438,1.82,0.98
1760723535,3402.74938 N,08407.11209 W,312.3,08,0.98,0.852,1.82,0.98
1760723536,3402.74934 N,08407.11194 W,312.2,08,0.98,0.161,1.82,0.98
1760723537,3402.74943 N,08407.11199 W,312.2,08,0.98,0.036,1.82,0.98
1760723538,3402.74944 N,08407.11188 W,312.3,08,0.98,0.913,1.82,0.98
1760723539,3402.74937 N,08407.11179 W,312.2,08,0.98,0.850,1.82,0.98
1760723540,3402.74923 N,08407.11165 W,312.3,08,0.98,0.500,1.82,0.98
1760723541,3402.74916 N,08407.11169 W,312.3,08,0.98,0.023,1.82,0.98
1760723542,3402.74902 N,08407.11167 W,312.3,08,0.98,0.423,1.81,0.98
1760723543,3402.74900 N,08407.11173 W,312.3,08,0.98,0.820,1.81,0.98
1760723544,3402.74913 N,08407.11175 W,312.4,08,0.97,0.931,1.81,0.98
