timestamp,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
1762115130,3403.39118 N,08407.88726 W,314.8,09,0.95,0.058,1.78,0.95,0.03591302490234375,3.277662072753906,-5.537788439941406,-11.404580152671755,8.786259541984732,-14.65648854961832,20.435882352941178
1762115131,3403.39118 N,08407.88726 W,314.8,09,0.95,0.058,1.78,0.95,-5.7508723876953125,1.3263877197265623,-8.884882360839843,-43.465648854961835,40.42748091603053,0.25190839694656486,20.341764705882355
1762115132,3403.39118 N,08407.88726 W,314.8,09,0.95,0.022,1.78,0.95,-3.124433166503906,3.5003228271484375,-10.754753857421875,-13.473282442748092,6.175572519083969,15.419847328244275,20.388823529411766
1762115133,3403.39118 N,08407.88726 W,314.8,09,0.95,0.022,1.78,0.95,-0.6751648681640625,4.115632653808594,-5.928043310546875,-45.87786259541985,17.557251908396946,58.18320610687023,20.388823529411766
1762115134,3403.39118 N,08407.88727 W,314.7,09,0.95,0.022,1.78,0.95,-4.752490295410156,3.6463691284179687,-8.137891442871092,-26.48854961832061,-14.86259541984733,30.793893129770993,20.341764705882355
1762115135,3403.39118 N,08407.88727 W,314.7,09,0.95,0.022,1.78,0.95,-4.414907861328125,3.299209887695312,-10.103531005859374,-17.580152671755727,-1.3053435114503817,22.81679389312977,20.341764705882355
1762115136,3403.39118 N,08407.88727 W,314.7,09,0.95,0.022,1.78,0.95,-2.6623522460937497,3.706224169921875,-9.222464794921875,-20.603053435114504,5.931297709923665,7.526717557251908,20.341764705882355
1762115137,3403.39118 N,08407.88727 W,314.7,09,0.95,0.022,1.78,0.95,-1.1563994018554686,1.924938134765625,-6.955155822753905,-29.65648854961832,8.374045801526718,21.85496183206107,20.294705882352943
1762115138,3403.39118 N,08407.88727 W,314.7,09,0.95,0.022,1.78,0.95,-0.37828386230468747,4.6639048339843745,-9.464279162597656,9.419847328244275,62.465648854961835,6.480916030534351,20.341764705882355
1762115139,3403.39118 N,08407.88727 W,314.7,09,0.95,0.022,1.78,0.95,-1.5682020874023437,3.622427111816406,-9.112331518554686,11.297709923664122,0.6870229007633588,-6.251908396946565,20.294705882352943
1762115140,3403.39118 N,08407.88727 W,314.7,09,0.95,0.003,1.78,0.95,-2.375048046875,2.3511060302734372,-5.303156677246093,14.870229007633588,18.885496183206108,-12.50381679389313,20.294705882352943
1762115141,3403.39118 N,08407.88727 W,314.7,09,0.95,0.003,1.78,0.95,-2.8467057739257813,3.9408559326171875,-7.0652890991210935,41.656488549618324,-32.93129770992366,-43.30534351145038,20.294705882352943
1762115142,3403.39118 N,08407.88727 W,314.7,09,0.95,0.003,1.78,0.95,-2.461239306640625,4.666299035644531,-9.830592016601562,-63.43511450381679,3.9083969465648853,54.343511450381676,20.24764705882353
1762115143,3403.39118 N,08407.88727 W,314.7,09,0.95,0.003,1.78,0.95,-0.6464344482421874,3.6296097167968746,-8.664615808105468,-18.81679389312977,10.687022900763358,20.893129770992367,20.294705882352943
1762115144,3403.39118 N,08407.88727 W,314.7,09,0.95,0.003,1.78,0.95,-1.13006318359375,2.2002713256835937,-8.858546142578124,32.412213740458014,-0.7862595419847328,-27.755725190839694,20.341764705882355
1762115145,3403.39118 N,08407.88727 W,314.7,09,0.95,0.003,1.78,0.95,-3.0071172851562498,2.5737667846679684,-11.520898388671874,20.015267175572518,-13.938931297709924,-26.206106870229007,20.24764705882353
1762115146,3403.39118 N,08407.88727 W,314.7,09,0.95,0.003,1.78,0.95,-1.0821791503906248,4.146757275390625,-4.5322237426757805,-13.068702290076336,-10.801526717557252,39.2442748091603,20.294705882352943
1762115147,3403.39118 N,08407.88727 W,314.7,09,0.95,0.003,1.78,0.95,-2.4396914916992185,3.5793314819335937,-9.03332286376953,-32.62595419847328,14.564885496183207,50.79389312977099,20.24764705882353
1762115148,3403.39118 N,08407.88727 W,314.7,09,0.95,0.017,1.78,0.95,-3.1579519897460937,4.3239281982421875,-10.254365710449218,15.86259541984733,-22.870229007633586,-13.648854961832061,20.294705882352943
1762115149,3403.39118 N,08407.88727 W,314.7,09,0.95,0.017,1.78,0.95,-0.6919242797851562,3.6535517333984373,-7.671022119140624,-12.954198473282442,2.3206106870229006,4.580152671755725,20.106470588235297
1762115150,3403.39117 N,08407.88725 W,314.7,09,0.95,0.017,1.78,0.95,-1.879448303222656,2.9927520751953125,-9.222464794921875,49.38931297709924,-4.33587786259542,-37.48091603053435,20.20058823529412
1762115151,3403.39117 N,08407.88725 W,314.7,09,0.95,0.017,1.78,0.95,-3.2561142578125,6.303932971191406,-9.244012609863281,-40.93129770992366,-14.206106870229007,24.099236641221374,20.20058823529412
1762115152,3403.39117 N,08407.88725 W,314.7,09,0.95,0.017,1.78,0.95,0.7613561279296874,5.011064074707031,-7.331045483398437,8.045801526717558,-27.15267175572519,-8.786259541984732,20.15352941176471
1762115153,3403.39117 N,08407.88725 W,314.7,09,0.95,0.017,1.78,0.95,-2.262520568847656,2.817975354003906,-6.737283471679687,-105.68702290076335,16.52671755725191,93.0381679389313,20.294705882352943
1762115154,3403.39117 N,08407.88725 W,314.7,09,0.95,0.017,1.78,0.95,-2.3822306518554686,4.170699291992188,-10.596736547851561,-1.366412213740458,24.282442748091604,-0.6030534351145038,20.341764705882355
1762115155,3403.39117 N,08407.88725 W,314.7,09,0.95,0.017,1.78,0.95,-0.0526724365234375,3.517082238769531,-7.711723547363281,10.595419847328245,-12.061068702290076,-22.236641221374047,20.341764705882355
1762115156,3403.39117 N,08407.88725 W,314.7,09,0.95,0.011,1.78,0.95,-2.0781670410156248,2.2290017456054687,-8.884882360839843,23.251908396946565,16.84732824427481,-69.12213740458016,20.15352941176471
1762115157,3403.39117 N,08407.88725 W,314.7,09,0.95,0.011,1.78,0.95,-1.5059528442382812,3.801992236328125,-10.94868419189453,3.7480916030534353,-23.81679389312977,-45.282442748091604,20.20058823529412
1762115158,3403.39116 N,08407.88721 W,314.8,09,0.95,0.011,1.78,0.95,-1.189918225097656,3.9983167724609374,-8.099584216308592,23.984732824427482,-46.7557251908397,70.46564885496183,20.15352941176471
1762115159,3403.39116 N,08407.88721 W,314.8,09,0.95,0.011,1.78,0.95,-3.660734338378906,1.8052280517578123,-10.122684619140625,-12.358778625954198,13.900763358778626,56.969465648854964,20.24764705882353
1762115160,3403.39116 N,08407.88721 W,314.8,09,0.95,0.011,1.78,0.95,-2.5761609863281247,1.3431471313476562,-10.230423693847655,40.68702290076336,30.52671755725191,-49.3587786259542,20.24764705882353
1762115161,3403.39116 N,08407.88721 W,314.8,09,0.95,0.011,1.78,0.95,-2.2194249389648437,2.920926025390625,-7.560888842773437,-59.97709923664122,18.076335877862597,1.7251908396946565,20.24764705882353
1762115162,3403.39116 N,08407.88721 W,314.8,09,0.95,0.011,1.78,0.95,-3.265691064453125,-2.9927520751953125,-12.7563064453125,-41.083969465648856,76.94656488549619,-215.93893129770993,20.106470588235297
1762115163,3403.39116 N,08407.88721 W,314.8,09,0.95,0.011,1.78,0.95,-0.36152445068359373,3.6296097167968746,-6.253654736328125,18.931297709923665,7.656488549618321,-4.770992366412214,20.106470588235297
1762115164,3403.39116 N,08407.88721 W,314.8,09,0.95,0.115,1.78,0.95,-2.664746447753906,2.310404602050781,-7.606378674316406,27.984732824427482,-22.328244274809162,128.5801526717557,20.20058823529412
1762115165,3403.39116 N,08407.88721 W,314.8,09,0.95,0.115,1.78,0.95,-6.268019946289062,0.32561142578124996,-9.8449572265625,23.748091603053435,-5.603053435114504,25.27480916030534,20.15352941176471
1762115166,3403.39117 N,08407.88718 W,314.8,09,0.95,0.115,1.78,0.95,0.086191259765625,3.189076611328125,-7.503428002929687,-106.93893129770993,90.9618320610687,29.450381679389313,20.20058823529412
1762115167,3403.39117 N,08407.88718 W,314.8,09,0.95,0.115,1.78,0.95,-0.9840168823242187,2.9376854370117185,-8.611943371582031,-17.610687022900763,18.31297709923664,-88.56488549618321,20.20058823529412
1762115168,3403.39117 N,08407.88718 W,314.8,09,0.95,0.115,1.78,0.95,-2.6623522460937497,0.6679822631835937,-13.40034669189453,-63.63358778625954,40.74045801526717,-200.51908396946564,20.106470588235297
1762115169,3403.39117 N,08407.88718 W,314.8,09,0.95,0.115,1.78,0.95,-2.1356278808593747,2.6408044311523438,-10.579977136230468,-56.44274809160305,38.61832061068702,-109.66412213740458,20.106470588235297
1762115170,3403.39117 N,08407.88718 W,314.8,09,0.95,0.115,1.78,0.95,-3.2704794677734372,2.2290017456054687,-6.327874987792969,21.358778625954198,-10.038167938931299,82.80152671755725,20.106470588235297
1762115171,3403.39117 N,08407.88718 W,314.8,09,0.95,0.115,1.78,0.95,-6.057330200195312,3.6056677001953124,-9.028534460449219,-3.3587786259541983,-15.381679389312977,49.83206106870229,20.106470588235297
1762115172,3403.39117 N,08407.88718 W,314.8,09,0.95,0.095,1.78,0.95,-0.8978256225585937,3.2225954345703123,-8.501810095214843,-7.786259541984733,0.37404580152671757,-45.0763358778626,20.15352941176471
1762115173,3403.39117 N,08407.88718 W,314.8,09,0.95,0.095,1.78,0.95,-3.859453076171875,-0.4860229370117187,-8.358157995605469,70.93129770992367,-66.38167938931298,-25.862595419847327,20.059411764705885
1762115174,3403.39129 N,08407.88719 W,315.0,09,0.95,0.095,1.78,0.95,-2.9281086303710935,3.5482068603515624,-10.129867224121092,63.51145038167939,-34.343511450381676,-49.76335877862596,20.059411764705885
1762115175,3403.39129 N,08407.88719 W,315.0,09,0.95,0.095,1.78,0.95,-2.231395947265625,1.838746875,-6.406883642578125,-96.14503816793894,57.44274809160305,64.38167938931298,20.15352941176471
1762115176,3403.39129 N,08407.88719 W,315.0,09,0.95,0.095,1.78,0.95,-2.422932080078125,2.9831752685546875,-9.306261853027344,-18.206106870229007,-9.450381679389313,9.221374045801527,20.15352941176471
1762115177,3403.39129 N,08407.88719 W,315.0,09,0.95,0.095,1.78,0.95,-0.6679822631835937,2.722207287597656,-7.134720947265625,-5.580152671755725,-5.816793893129771,-42.31297709923664,20.15352941176471
1762115178,3403.39129 N,08407.88719 W,315.0,09,0.95,0.095,1.78,0.95,-3.1579519897460937,-0.5865794067382812,-13.634978454589843,0.48091603053435117,-14.511450381679388,-54.63358778625954,20.059411764705885
1762115179,3403.39129 N,08407.88719 W,315.0,09,0.95,0.095,1.78,0.95,-4.357447021484375,-0.36631285400390623,-11.832144604492187,-48.79389312977099,27.366412213740457,-52.778625954198475,20.20058823529412
1762115180,3403.39129 N,08407.88719 W,315.0,09,0.95,1.992,1.78,0.95,-2.6815058593749996,1.7812860351562498,-11.602301245117188,31.9618320610687,-9.061068702290076,-26.977099236641223,20.059411764705885
1762115181,3403.39129 N,08407.88719 W,315.0,09,0.95,1.992,1.78,0.95,0.25139117431640623,1.024718310546875,-9.0788126953125,20.82442748091603,8.419847328244275,24.244274809160306,20.01235294117647
1762115182,3403.39144 N,08407.88752 W,314.9,09,0.95,1.992,1.78,0.95,-3.0119056884765625,2.9759926635742184,-6.957550024414062,43.33587786259542,52.58015267175573,-29.083969465648856,20.059411764705885
1762115183,3403.39144 N,08407.88752 W,314.9,09,0.95,1.992,1.78,0.95,-4.426878869628906,4.2329485351562495,-9.720458740234374,-23.984732824427482,-18.603053435114504,40.091603053435115,20.106470588235297
1762115184,3403.39144 N,08407.88752 W,314.9,09,0.95,1.992,1.78,0.95,-1.838746875,3.5577836669921874,-7.824251025390624,-52.31297709923664,6.625954198473282,-55.12977099236641,20.059411764705885
1762115185,3403.39144 N,08407.88752 W,314.9,09,0.95,1.992,1.78,0.95,-2.138022082519531,0.6536170532226562,-7.841010437011718,-11.572519083969466,-50.656488549618324,59.229007633587784,20.106470588235297
1762115186,3403.39144 N,08407.88752 W,314.9,09,0.95,1.992,1.78,0.95,-3.6583401367187496,3.5194764404296874,-9.888052856445311,34.954198473282446,16.732824427480917,-2.5419847328244276,19.96529411764706
1762115187,3403.39144 N,08407.88752 W,314.9,09,0.95,1.992,1.78,0.95,-0.9361328491210937,1.8291700683593748,-8.710105639648438,-5.519083969465649,-23.923664122137403,-17.557251908396946,20.106470588235297
1762115188,3403.39144 N,08407.88752 W,314.9,09,0.95,4.857,1.78,0.95,0.105344873046875,0.9241618408203125,-9.708487731933593,31.595419847328245,-2.1603053435114505,-28.022900763358777,20.15352941176471
1762115190,3403.39144 N,08407.88752 W,314.9,09,0.95,4.857,1.78,0.95,-2.6599580444335937,3.265691064453125,-9.516951599121093,13.053435114503817,5.709923664122138,-1.748091603053435,20.059411764705885
1762115191,3403.39190 N,08407.88856 W,314.9,09,0.95,4.857,1.78,0.95,-0.25139117431640623,2.6240450195312497,-7.192181787109375,-14.435114503816793,4.190839694656488,19.213740458015266,20.106470588235297
1762115192,3403.39190 N,08407.88856 W,314.9,09,0.95,4.857,1.78,0.95,-0.5985504150390625,1.2521674682617188,-8.475473876953124,-12.076335877862595,19.519083969465647,-9.099236641221374,20.671176470588236
1762115193,3403.39190 N,08407.88856 W,314.9,09,0.95,4.857,1.78,0.95,-0.1149216796875,1.618480322265625,-9.253589416503905,-25.740458015267176,-20.99236641221374,2.8702290076335877,20.059411764705885
1762115194,3403.39190 N,08407.88856 W,314.9,09,0.95,4.857,1.78,0.95,-0.8499415893554687,3.3351229125976563,-7.350199096679687,2.7099236641221376,9.526717557251908,16.549618320610687,20.059411764705885
1762115195,3403.39190 N,08407.88856 W,314.9,09,0.95,4.857,1.78,0.95,-2.3295582153320313,2.9927520751953125,-8.252813122558594,55.32824427480916,2.1297709923664123,-3.1297709923664123,20.059411764705885
1762115196,3403.39190 N,08407.88856 W,314.9,09,0.95,4.857,1.78,0.95,-2.549824768066406,0.011971008300781249,-10.77630167236328,-25.49618320610687,-7.221374045801527,-9.877862595419847,20.059411764705885
1762115197,3403.39190 N,08407.88856 W,314.9,09,0.95,7.905,1.78,0.95,-0.02154781494140625,5.449202978515625,-7.247248425292969,-7.603053435114504,-6.061068702290076,-8.366412213740459,20.059411764705885
1762115198,3403.39190 N,08407.88856 W,314.9,09,0.95,7.905,1.78,0.95,-3.9719805541992184,0.679953271484375,-9.555258825683593,-41.51145038167939,17.80916030534351,63.70992366412214,20.059411764705885
1762115199,3403.39285 N,08407.89048 W,314.9,09,0.95,7.905,1.78,0.95,-0.8882488159179687,4.527435339355469,-10.09395419921875,10.549618320610687,16.137404580152673,28.236641221374047,20.106470588235297
1762115200,3403.39285 N,08407.89048 W,314.9,09,0.95,7.905,1.78,0.95,-0.3136404174804687,4.774038110351563,-6.636727001953124,18.099236641221374,7.6106870229007635,-41.32824427480916,20.15352941176471
1762115201,3403.39285 N,08407.89048 W,314.9,09,0.95,7.905,1.78,0.95,-2.8802245971679685,2.212242333984375,-7.5345526245117185,30.66412213740458,-3.5572519083969465,21.61832061068702,20.01235294117647
1762115202,3403.39285 N,08407.89048 W,314.9,09,0.95,7.905,1.78,0.95,-1.4532804077148436,3.1459809814453124,-9.325415466308593,-17.16030534351145,5.816793893129771,64.92366412213741,19.96529411764706
1762115203,3403.39285 N,08407.89048 W,314.9,09,0.95,7.905,1.78,0.95,-1.4939818359375,3.6463691284179687,-10.424354028320312,-3.66412213740458,-11.076335877862595,-22.114503816793892,20.20058823529412
1762115204,3403.39285 N,08407.89048 W,314.9,09,0.95,7.905,1.78,0.95,-1.1923124267578125,0.0430956298828125,-7.417236743164062,10.061068702290076,-10.0,-41.404580152671755,20.106470588235297
1762115205,3403.39285 N,08407.89048 W,314.9,09,0.95,9.958,1.78,0.95,1.1947066284179686,2.729389892578125,-11.59990704345703,55.083969465648856,-15.885496183206106,-86.45038167938931,20.15352941176471
1762115206,3403.39285 N,08407.89048 W,314.9,09,0.95,9.958,1.78,0.95,-2.403778466796875,5.729324572753906,-7.967903124999999,57.48854961832061,-14.916030534351146,-95.51908396946565,20.059411764705885
1762115207,3403.39396 N,08407.89317 W,315.0,09,0.95,9.958,1.78,0.95,-1.7884686401367187,3.746925598144531,-6.5505357421875,12.076335877862595,17.65648854961832,9.32824427480916,20.01235294117647
1762115208,3403.39396 N,08407.89317 W,315.0,09,0.95,9.958,1.78,0.95,-3.6846763549804686,3.2225954345703123,-11.1474029296875,137.32824427480915,-8.274809160305344,-35.81679389312977,20.059411764705885
1762115209,3403.39396 N,08407.89317 W,315.0,09,0.95,9.958,1.78,0.95,-1.915361328125,4.110844250488281,-11.046846459960937,36.44274809160305,49.23664122137404,-37.221374045801525,20.059411764705885
1762115210,3403.39396 N,08407.89317 W,315.0,09,0.95,9.958,1.78,0.95,-4.8123453369140625,-1.8052280517578123,-8.942343200683593,-27.213740458015266,-18.00763358778626,2.6030534351145036,20.059411764705885
1762115211,3403.39396 N,08407.89317 W,315.0,09,0.95,9.958,1.78,0.95,-2.987963671875,3.7421371948242186,-10.302249743652343,154.4885496183206,-38.19083969465649,-72.92366412213741,20.106470588235297
1762115212,3403.39396 N,08407.89317 W,315.0,09,0.95,9.958,1.78,0.95,0.19393033447265623,4.50109912109375,-8.195352282714843,-13.145038167938932,-0.48854961832061067,3.1297709923664123,20.059411764705885
1762115213,3403.39396 N,08407.89317 W,315.0,09,0.95,11.250,1.78,0.95,-1.4820108276367188,3.5984850952148437,-5.884947680664062,-32.6412213740458,12.786259541984732,61.847328244274806,20.01235294117647
